LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
OECD,QGDP,TOT,PC_CHGPP,A,2000,4.134211459,
OECD,QGDP,TOT,PC_CHGPP,A,2001,1.351661763,
OECD,QGDP,TOT,PC_CHGPP,A,2002,1.622058388,
OECD,QGDP,TOT,PC_CHGPP,A,2003,2.089900122,
OECD,QGDP,TOT,PC_CHGPP,A,2004,3.353767471,
OECD,QGDP,TOT,PC_CHGPP,A,2005,2.883966206,
OECD,QGDP,TOT,PC_CHGPP,A,2006,3.136989981,
OECD,QGDP,TOT,PC_CHGPP,A,2007,2.731128977,
OECD,QGDP,TOT,PC_CHGPP,A,2008,0.448641772,
OECD,QGDP,TOT,PC_CHGPP,A,2009,-3.417594381,
OECD,QGDP,TOT,PC_CHGPP,A,2010,3.116304935,
OECD,QGDP,TOT,PC_CHGPP,A,2011,2.077203869,
OECD,QGDP,TOT,PC_CHGPP,A,2012,1.40223762,
OECD,QGDP,TOT,PC_CHGPP,A,2013,1.583128068,
OECD,QGDP,TOT,PC_CHGPP,A,2014,2.142907153,
OECD,QGDP,TOT,PC_CHGPP,A,2015,2.532318911,
OECD,QGDP,TOT,PC_CHGPP,A,2016,1.88579073,
OECD,QGDP,TOT,PC_CHGPP,A,2017,2.638162771,
OECD,QGDP,TOT,PC_CHGPP,A,2018,2.3868641,
OECD,QGDP,TOT,PC_CHGPP,A,2019,1.698495801,
OECD,QGDP,TOT,PC_CHGPP,A,2020,-4.349879941,
OECD,QGDP,TOT,PC_CHGPP,A,2021,5.690301717,
OECD,QGDP,TOT,PC_CHGPP,A,2022,2.9,
EST,QGDP,TOT,PC_CHGPP,A,2000,10.08763699,
EST,QGDP,TOT,PC_CHGPP,A,2001,6.00367406,
EST,QGDP,TOT,PC_CHGPP,A,2002,6.771366974,
EST,QGDP,TOT,PC_CHGPP,A,2003,7.600265729,
EST,QGDP,TOT,PC_CHGPP,A,2004,6.804003009,
EST,QGDP,TOT,PC_CHGPP,A,2005,9.526428986,
EST,QGDP,TOT,PC_CHGPP,A,2006,9.765582251,
