"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PPI","TOT_MKT","AGRWTH","A","2000",7.153285,
"AUS","PPI","TOT_MKT","AGRWTH","A","2001",3.099455,
"AUS","PPI","TOT_MKT","AGRWTH","A","2002",0.16518,
"AUS","PPI","TOT_MKT","AGRWTH","A","2003",0.5277045,
"AUS","PPI","TOT_MKT","AGRWTH","A","2004",3.937008,
"AUS","PPI","TOT_MKT","AGRWTH","A","2005",5.997475,
"AUS","PPI","TOT_MKT","AGRWTH","A","2006",7.921382,
"AUS","PPI","TOT_MKT","AGRWTH","A","2007",2.317881,
"AUS","PPI","TOT_MKT","AGRWTH","A","2008",8.306365,
"AUS","PPI","TOT_MKT","AGRWTH","A","2009",-5.428287,
"AUS","PPI","TOT_MKT","AGRWTH","A","2010",1.895735,
"AUS","PPI","TOT_MKT","AGRWTH","A","2011",3.385013,
"AUS","PPI","TOT_MKT","AGRWTH","A","2012",-0.4748813,
"AUS","PPI","TOT_MKT","AGRWTH","A","2013",1.079859,
"AUS","PPI","TOT_MKT","AGRWTH","A","2014",3.10559,
"AUS","PPI","TOT_MKT","AGRWTH","A","2015",0.2650602,
"AUS","PPI","TOT_MKT","AGRWTH","A","2016",-0.5767844,
"AUS","PPI","TOT_MKT","AGRWTH","A","2017",3.190718,
"AUS","PPI","TOT_MKT","AGRWTH","A","2018",5.176857,
"AUS","PPI","TOT_MKT","AGRWTH","A","2019",3.407572,
"AUS","PPI","TOT_MKT","AGRWTH","A","2020",0.9476631,
"AUS","PPI","TOT_MKT","AGRWTH","A","2021",5.739279,
"AUS","PPI","TOT_MKT","AGRWTH","A","2022",14.46731,
"AUT","PPI","TOT_MKT","AGRWTH","A","2000",3.076993,
"AUT","PPI","TOT_MKT","AGRWTH","A","2001",0.2056267,
"AUT","PPI","TOT_MKT","AGRWTH","A","2002",-1.156609,
"AUT","PPI","TOT_MKT","AGRWTH","A","2003",-0.1509861,
"AUT","PPI","TOT_MKT","AGRWTH","A","2004",1.852377,
"AUT","PPI","TOT_MKT","AGRWTH","A","2005",3.31261,
"AUT","PPI","TOT_MKT","AGRWTH","A","2006",1.472966,
"AUT","PPI","TOT_MKT","AGRWTH","A","2007",2.239334,
"AUT","PPI","TOT_MKT","AGRWTH","A","2008",2.493291,
"AUT","PPI","TOT_MKT","AGRWTH","A","2009",-1.697779,
"AUT","PPI","TOT_MKT","AGRWTH","A","2010",3.084723,
"AUT","PPI","TOT_MKT","AGRWTH","A","2011",3.875969,
"AUT","PPI","TOT_MKT","AGRWTH","A","2012",1.13144,
"AUT","PPI","TOT_MKT","AGRWTH","A","2013",-0.2142347,
"AUT","PPI","TOT_MKT","AGRWTH","A","2014",-0.4850509,
"AUT","PPI","TOT_MKT","AGRWTH","A","2015",-0.8369014,
"AUT","PPI","TOT_MKT","AGRWTH","A","2016",-1.033247,
"AUT","PPI","TOT_MKT","AGRWTH","A","2017",2.483792,
"AUT","PPI","TOT_MKT","AGRWTH","A","2018",2.13605,
"AUT","PPI","TOT_MKT","AGRWTH","A","2019",0.201094,
"AUT","PPI","TOT_MKT","AGRWTH","A","2020",-1.155977,
"AUT","PPI","TOT_MKT","AGRWTH","A","2021",6.440348,
"AUT","PPI","TOT_MKT","AGRWTH","A","2022",11.84167,
"BEL","PPI","TOT_MKT","AGRWTH","A","2002",-0.1695298,
